PULocationID,total_emissions,emissions_10_20,reduction_10_20,emissions_20_30,reduction_20_30
1,3209.6162466679457,2728.1738096677536,481.44243700019206,2246.731372667562,962.8848740003837
3,90045669.58704732,76538819.14899023,13506850.438057095,63031968.71093312,27013700.876114205
4,94975726.03078103,80729367.12616387,14246358.90461716,66483008.22154672,28492717.809234314
7,303009303.21128136,257557907.72958913,45451395.481692225,212106512.24789694,90902790.96338442
8,597517.9740516704,507890.2779439198,89627.69610775058,418262.58183616924,179255.39221550117
10,153484627.7029222,130461933.54748386,23022694.155438334,107439239.39204553,46045388.31087667
11,53565514.04069331,45530686.93458931,8034827.106104001,37495859.82848532,16069654.212207995
14,213855221.81932092,181776938.54642278,32078283.272898138,149698655.27352464,64156566.545796275
16,62580131.60324418,53193111.86275755,9387019.74048663,43806092.12227092,18774039.48097326
17,196737754.46955344,167227091.29912043,29510663.170433015,137716428.1286874,59021326.34086603
18,190190852.80770707,161662224.886551,28528627.92115608,133133596.96539494,57057255.84231213
20,92999379.00204,79049472.151734,13949906.850306004,65099565.301428,27899813.700612
21,101699228.32828929,86444344.07904589,15254884.249243394,71189459.8298025,30509768.498486787
22,138329809.0844688,117580337.72179848,20749471.362670332,96830866.35912816,41498942.72534065
26,119608677.99064876,101667376.29205145,17941301.698597312,83726074.59345412,35882603.39719464
28,114266294.52451792,97126350.34584023,17139944.178677693,79986406.16716254,34279888.357355386
29,65263683.739285804,55474131.17839293,9789552.560892873,45684578.61750006,19579105.121785745
31,9475179.08270182,8053902.220296548,1421276.8624052731,6632625.357891275,2842553.7248105463
32,105425567.73019914,89611732.57066926,15813835.15952988,73797897.4111394,31627670.319059744
35,206622470.675534,175629100.0742039,30993370.6013301,144635729.4728738,61986741.2026602
36,158180949.46772888,134453807.04756954,23727142.42015934,110726664.62741022,47454284.840318665
37,273073877.7776022,232112796.11096185,40961081.66664034,191151714.4443215,81922163.33328068
39,285457726.23077327,242639067.29615727,42818658.934616,199820408.36154127,85637317.869232
41,194346995.82488018,165194946.45114815,29152049.37373203,136042897.07741612,58304098.74746406
42,336503664.85116655,286028115.1234916,50475549.72767496,235552565.39581656,100951099.45534998
43,34358078.466445535,29204366.696478706,5153711.76996683,24050654.926511873,10307423.539933663
47,132536228.54419464,112655794.26256543,19880434.281629205,92775359.98093624,39760868.563258395
48,262758826.5619948,223345002.57769558,39413823.98429921,183931178.59339634,78827647.96859846
49,153278306.14209172,130286560.22077796,22991745.921313763,107294814.2994642,45983491.842627525
50,198039254.98513347,168333366.73736346,29705888.24777001,138627478.48959342,59411776.49554005
55,107089534.03793266,91026103.93224277,16063430.105689898,74962673.82655285,32126860.21137981
56,134766450.8883048,114551483.25505908,20214967.63324572,94336515.62181336,40429935.26649144
59,4209174.125891728,3577798.007007969,631376.1188837592,2946421.88812421,1262752.2377675185
60,97017632.17924607,82464987.35235916,14552644.826886907,67912342.52547224,29105289.65377383
61,363848402.29038787,309271141.9468297,54577260.34355819,254693881.60327148,109154520.68711638
62,104194984.20396006,88565736.57336605,15629247.630594015,72936488.94277203,31258495.26118803
63,134501695.58137882,114326441.24417199,20175254.337206826,94151186.90696517,40350508.67441365
67,71168701.23251821,60493396.04764048,10675305.18487773,49818090.86276274,21350610.36975547
68,255550423.75445625,217217860.19128782,38332563.56316844,178885296.62811938,76665127.12633687
69,207127147.57839614,176058075.4416367,31069072.13675943,144989003.30487728,62138144.27351886
70,91138036.99382418,77467331.44475055,13670705.549073637,63796625.895676926,27341411.09814726
71,155796163.43506613,132426738.91980621,23369424.51525992,109057314.40454629,46738849.03051984
72,182446378.59023038,155079421.80169582,27366956.78853455,127712465.01316126,54733913.57706912
73,41267804.11055653,35077633.49397305,6190170.616583481,28887462.87738957,12380341.23316696
74,247844547.91631076,210667865.72886413,37176682.187446624,173491183.5414175,74353364.37489325
75,237561914.25975862,201927627.12079483,35634287.13896379,166293339.981831,71268574.2779276
76,377523093.1249309,320894629.1561913,56628463.96873963,264266165.18745163,113256927.93747929
77,105671775.50289893,89821009.17746408,15850766.325434849,73970242.85202925,31701532.650869682
78,175715984.48494977,149358586.8122073,26357397.672742456,123001189.13946483,52714795.34548494
79,237472800.0498591,201851880.04238024,35620920.00747886,166230960.03490135,71241840.01495776
80,148763711.03667977,126449154.3811778,22314556.655501977,104134597.72567584,44629113.31100394
81,113062164.42309213,96102839.75962831,16959324.663463816,79143515.09616448,33918649.32692765
82,208844053.51775414,177517445.49009103,31326608.02766311,146190837.46242788,62653216.05532625
83,81584387.24275428,69346729.15634114,12237658.086413145,57109071.06992799,24475316.17282629
85,99602961.8357305,84662517.56037092,14940444.275359571,69722073.28501134,29880888.550719157
86,83201937.39609088,70721646.78667724,12480290.609413639,58241356.17726361,24960581.21882727
89,270467643.4433463,229897496.92684436,40570146.51650196,189327350.41034243,81140293.0330039
90,184925965.47340688,157187070.65239584,27738894.821011037,129448175.83138481,55477789.64202207
91,193534342.61481863,164504191.22259584,29030151.392222792,135474039.83037305,58060302.784445584
94,72938456.33443286,61997687.884267926,10940768.450164929,51056919.434103,21881536.900329858
95,222331233.92985758,188981548.84037894,33349685.08947864,155631863.7509003,66699370.17895728
97,141765292.85952896,120500498.93059961,21264793.928929344,99235705.00167027,42529587.85785869
100,104596756.79400106,88907243.2749009,15689513.51910016,73217729.75580074,31379027.03820032
102,86224420.4286617,73290757.36436245,12933663.064299256,60357094.300063185,25867326.12859852
105,519.7355064384226,441.7751804726592,77.96032596576339,363.8148545068958,155.92065193152678
107,203393005.9621144,172884055.06779724,30508950.89431715,142375104.17348006,61017901.78863433
108,62675938.8678945,53274548.037710324,9401390.830184177,43873157.20752615,18802781.660368353
111,786954.489998709,668911.3164989026,118043.17349980632,550868.1429990962,236086.34699961275
112,212552143.26300535,180669321.77355453,31882821.489450812,148786500.28410372,63765642.978901625
113,141428683.15376335,120214380.68069884,21214302.473064512,99000078.20763434,42428604.94612901
114,78295322.23877321,66551023.90295723,11744298.335815981,54806725.56714124,23488596.67163197
115,35729266.47274234,30369876.501830988,5359389.970911354,25010486.530919638,10718779.941822704
116,174977231.63040787,148730646.88584667,26246584.744561195,122484062.1412855,52493169.489122376
119,147731812.79597515,125572040.87657887,22159771.91939628,103412268.9571826,44319543.83879255
123,93593517.39639182,79554489.78693305,14039027.609458774,65515462.177474275,28078055.21891755
125,79145109.38279434,67273342.97537519,11871766.407419145,55401576.56795603,23743532.814838305
126,109450958.81372948,93033314.99167006,16417643.822059423,76615671.16961063,32835287.644118845
129,263833995.12723377,224258895.8581487,39575099.26908508,184683796.58906364,79150198.53817013
130,198546154.37127256,168764231.2155817,29781923.15569088,138982308.05989078,59563846.31138179
133,74952123.2300837,63709304.745571144,11242818.48451256,52466486.26105859,22485636.969025113
134,82577184.08922644,70190606.47584248,12386577.613383964,57804028.862458505,24773155.226767935
136,106108587.34778078,90192299.24561366,15916288.102167115,74276011.14344653,31832576.204334244
137,175554744.4363802,149221532.77092317,26333211.66545704,122888321.10546614,52666423.330914065
139,74831689.65904634,63606936.21018939,11224753.44885695,52382182.76133243,22449506.897713907
140,217397360.06645477,184787756.05648655,32609604.00996822,152178152.04651833,65219208.01993644
141,242447340.07014495,206080239.0596232,36367101.01052174,169713138.04910144,72734202.02104351
142,199481239.4970489,169559053.5724916,29922185.92455733,139636867.64793423,59844371.849114686
143,211904430.4589659,180118765.890121,31785664.568844885,148333101.32127613,63571329.13768977
144,96909903.64182036,82373418.0955473,14536485.546273053,67836932.54927425,29072971.092546105
145,231174662.84169716,196498463.4154426,34676199.42625457,161822263.989188,69352398.85250917
147,90991177.85984722,77342501.18087013,13648676.678977087,63693824.50189305,27297353.357954167
149,82496720.86373097,70122212.73417132,12374508.129559651,57747704.60461167,24749016.259119295
150,31303750.68124694,26608188.0790599,4695562.602187041,21912625.476872858,9391125.204374082
151,118722532.35013093,100914152.49761128,17808379.852519646,83105772.64509165,35616759.70503928
152,76070522.84922005,64659944.42183704,11410578.427383013,53249365.99445403,22821156.85476602
153,28843120.230550125,24516652.195967607,4326468.034582518,20190184.161385085,8652936.06916504
155,94196500.06951302,80067025.05908607,14129475.010426953,65937550.04865911,28258950.020853914
